"","yearmon","max_temp","incidents","assaults","robbery","prepcip","mean_temp","cool_deg_days","heat_deg_days","min_temp","morn_inc","aft_inc","eve_inc","nuit_inc"
"34",Oct 2016,16.2010550404633,1931,1609,322,0.925982357832791,12.6971094694956,0.168316556089377,342.009677419355,9.07527425989084,394,310,557,1931
"35",Nov 2016,11.4762828800403,1809,1481,328,1.65462736893772,7.73933823635951,0,616.416666666667,4.06092832874153,343,282,583,1809
"36",Dec 2016,2.38168152339913,1748,1476,272,2.32657432685824,-0.200012773001882,0,1019.57741935484,-2.83915447150271,391,288,500,1748
"37",Jan 2017,1.77962131732438,1773,1450,323,2.23882981240283,-0.583174606082097,0,1052.30322580645,-2.91502687286143,330,261,526,1773
"38",Feb 2017,4.5412888609076,1655,1385,270,1.67772014857979,1.00853984224809,0,991.310714285714,-2.50218853075501,328,261,548,1655
"39",Mar 2017,3.45800669897956,1717,1445,272,2.29651225421955,0.0568239397302598,0,975.796774193548,-3.45626341533336,330,300,531,1717
"40",Apr 2017,13.5592332965473,2011,1686,325,3.257495351502,9.36319211202368,0,579.946666666667,5.37916866135443,455,319,575,2011
"41",May 2017,16.0375230040948,1979,1638,341,4.95686402423965,12.1340651248035,0.0743365508896406,373.75,8.82622800632956,346,294,638,1979
"42",Jun 2017,23.5227664029074,1932,1578,354,2.71566063251931,19.158537966503,1.85668474434354,47.8433333333333,14.8201228338325,465,272,526,1932
"43",Jul 2017,25.8098819479796,2205,1843,362,1.85147749658781,21.670621264382,3.68086794369885,0.52258064516129,17.4791378708221,501,300,534,2205
"44",Aug 2017,24.6545100847018,1934,1616,318,0.690688524946939,20.3963841022701,2.61850724743128,13.3612903225806,16.0829103185727,399,287,507,1934
"45",Sep 2017,23.5614386130106,1937,1616,321,0.887655834577279,19.1121118466971,2.36404026921456,81.4233333333333,14.6841420149184,375,310,570,1937
"46",Oct 2017,18.141335188384,1975,1601,374,1.63015799647633,14.0653257900882,0.220186104218362,274.441935483871,9.77601572103838,371,306,640,1975
"47",Nov 2017,7.96828180453616,2030,1675,355,1.75487170143367,4.80996211930966,0,894.11,1.53756213507043,381,332,616,2030
"48",Dec 2017,-0.773926465848804,1836,1553,283,1.11487677705872,-3.83306919992276,0,1272.33870967742,-6.86547469571106,377,252,579,1836
"49",Jan 2018,-0.674807278456648,1941,1614,327,1.85742799674617,-4.42504535826806,0,1423.8935483871,-8.16273872997806,353,280,611,1941
"50",Feb 2018,2.82693532531806,1624,1340,284,2.15736732487138,-0.830055680637397,0,1078.33928571429,-4.14657845070568,340,269,489,1624
"51",Mar 2018,4.33342499431273,1935,1577,358,0.761123889354387,1.03922348499569,0,1059.26774193548,-2.24432685367578,369,281,589,1935
"52",Apr 2018,8.02188887214442,1786,1553,233,4.78933923476279,4.34122976609037,0,804.733333333333,0.517508614208898,321,260,616,1786
"53",May 2018,21.662040203186,2071,1803,268,1.69660968125116,16.6131954414678,1.18210565080147,169.583870967742,11.5135425103889,374,341,632,2071
"54",Jun 2018,23.5203108728003,1975,1707,268,1.98971569452291,19.5047472265735,1.96256315284596,29.53,15.4226726603903,412,296,553,1975
"55",Jul 2018,27.909671020174,1940,1655,285,1.53491046897725,23.2161849777228,5.21618497772281,0,18.717959162155,411,313,510,1940
"56",Aug 2018,27.1624964413925,1982,1672,310,5.51269837762425,23.4069636185135,5.41986684431997,0.812903225806452,19.6466137318656,389,312,534,1982
"57",Sep 2018,23.0662428775064,1855,1565,290,2.07058446655498,19.3613425950372,2.62064350749661,74.2166666666667,15.6737340195962,359,260,529,1855
"58",Oct 2018,13.174811823058,1938,1640,298,2.02419173682702,9.65078051526033,0.208151995626025,529.874193548387,6.0856592525636,417,307,615,1938
"59",Nov 2018,4.79340700687063,1934,1601,333,3.67874407610841,2.3440678045341,0,995.23,-0.087854368168184,379,324,623,1934
